icao,departure_from,departure_time,arrival_time,terminal,gate,baggage_belt,flight_number,airline,aircraft
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,MF 9557,Xiamen,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,JU 7420,Air Serbia,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,MU 4952,China Eastern,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,KQ 7201,Kenya,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,EY 4351,Etihad,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,GA 9467,Garuda Indonesia,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,AM 6843,Aeromexico,Boeing 737-800
EHAM,Madrid,2024-11-03 14:00Z,2024-11-03 16:35Z,1,C15,4,UX 1093,Air Europa,Boeing 737-800
EHAM,Oslo,2024-11-03 14:40Z,2024-11-03 16:35Z,3,Z02,18,DY 1258,Norwegian Air Shuttle,Boeing 737-800
EHAM,Lima,2024-11-03 01:10Z,2024-11-03 13:05Z,3,F7,18,KL 744,KLM,Boeing 777
EHAM,Unknown,,2024-11-03 13:05Z,3,F7,18,AF 8244,Air France,Boeing 777
EHAM,Glasgow,2024-11-03 15:05Z,2024-11-03 16:40Z,4,,19,U2 3173,easyJet,Airbus A320
EHAM,Frankfurt-am-Main,2024-11-03 15:40Z,2024-11-03 16:55Z,1,,6,LH 996,Lufthansa,Embraer 190
EHAM,Unknown,,2024-11-03 15:00Z,2,,9,VS 7094,Virgin Atlantic,Embraer 190
EHAM,Unknown,,2024-11-03 15:00Z,2,,9,EY 7308,Etihad,Embraer 190
EHAM,Unknown,,2024-11-03 15:00Z,2,,9,DL 9648,Delta Air Lines,Embraer 190
EHAM,Newcastle upon Tyne,2024-11-03 13:40Z,2024-11-03 15:00Z,2,,9,KL 958,KLM,Embraer 190
EHAM,London,2024-11-03 16:00Z,2024-11-03 17:05Z,3,,18,U2 7842,easyJet,Airbus A321-200 (Sharklets)
EHAM,London,2024-11-03 16:00Z,2024-11-03 17:05Z,3,,18,EC 7842,EasyJet Europe,Airbus A321-200 (Sharklets)
EHAM,Geneva,2024-11-03 15:25Z,2024-11-03 17:10Z,4,,20,EC 7870,EasyJet Europe,Airbus A320
EHAM,Geneva,2024-11-03 15:25Z,2024-11-03 17:10Z,4,,20,U2 7870,easyJet,Airbus A320
EHAM,Paris,2024-11-03 15:55Z,2024-11-03 17:20Z,,,,AF 1140,Air France,Airbus A220-300
EHAM,Unknown,,2024-11-03 17:20Z,,,,KQ 3118,Kenya,Airbus A220-300
EHAM,Unknown,,2024-11-03 17:20Z,,,,KL 2016,KLM,Airbus A220-300
EHAM,Unknown,,2024-11-03 17:20Z,,,,GA 9555,Garuda Indonesia,Airbus A220-300
EHAM,Unknown,,2024-11-03 17:20Z,,,,G3 5265,Gol,Airbus A220-300
EHAM,Unknown,,2024-11-03 17:20Z,,,,AM 5709,Aeromexico,Airbus A220-300
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,AM 6561,Aeromexico,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,KQ 1824,Kenya,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,KE 6428,Korean Air,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,GA 9757,Garuda Indonesia,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,MF 9336,Xiamen,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,EY 7385,Etihad,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,CZ 7787,China Southern,Embraer 195-E2
EHAM,Unknown,,2024-11-03 16:55Z,2,,10,MU 1638,China Eastern,Embraer 195-E2
EHAM,Berlin,2024-11-03 15:30Z,2024-11-03 16:55Z,2,,10,KL 1780,KLM,Embraer 195-E2
EHAM,Unknown,,2024-11-03 17:10Z,,H5,,EC 7984,EasyJet Europe,Airbus A321 (Sharklets)
EHAM,Larnarca,2024-11-03 12:20Z,2024-11-03 17:10Z,,H5,,U2 7984,easyJet,Airbus A321 (Sharklets)
EHAM,New Delhi,2024-11-03 08:30Z,2024-11-03 17:35Z,,G6,,AI 155,Air India,Boeing 787-8
EHAM,Guangzhou,2024-11-03 04:50Z,2024-11-03 17:35Z,,E17,,CZ 307,China Southern,Airbus A350
EHAM,Oslo,2024-11-03 15:30Z,2024-11-03 17:25Z,,,,SK 827,SAS,Airbus A321-200 (Sharklets)
EHAM,Riga,2024-11-03 15:00Z,2024-11-03 17:25Z,,,,BT 619,airBaltic,Airbus A220-300
EHAM,Barcelona,2024-11-03 13:45Z,2024-11-03 16:15Z,1,,4,HV 5132,Transavia,Boeing 737-800 (winglets)
EHAM,Barcelona,2024-11-03 13:45Z,2024-11-03 16:15Z,1,,4,KL 2678,KLM,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 17:55Z,,E8,,UL 2377,SriLankan,Boeing 787-10
EHAM,Unknown,,2024-11-03 17:55Z,,E8,,KL 3949,KLM,Boeing 787-10
EHAM,Unknown,,2024-11-03 17:55Z,,E8,,GA 8994,Garuda Indonesia,Boeing 787-10
EHAM,Abu Dhabi Island and Internal Islands City,2024-11-03 10:25Z,2024-11-03 17:55Z,,E8,,EY 41,Etihad,Boeing 787-10
EHAM,Málaga,2024-11-03 14:25Z,2024-11-03 17:30Z,,,,FR 5691,Ryanair,Boeing 737 MAX 8
EHAM,Frankfurt-am-Main,2024-11-03 16:15Z,2024-11-03 17:30Z,,,,LH 998,Lufthansa,Bombardier CRJ900
EHAM,Ibiza Town,2024-11-03 14:20Z,2024-11-03 17:00Z,1,,2,KL 2586,KLM,Boeing 737-800 (winglets)
EHAM,Ibiza Town,2024-11-03 14:20Z,2024-11-03 17:00Z,1,,2,HV 5676,Transavia,Boeing 737-800 (winglets)
EHAM,Seoul,2024-11-03 02:55Z,2024-11-03 17:30Z,,F8,,KE 925,Korean Air,Boeing 777
EHAM,Palma De Mallorca,2024-11-03 14:15Z,2024-11-03 16:50Z,1,,6,KL 2630,KLM,Boeing 737-800 (winglets)
EHAM,Palma De Mallorca,2024-11-03 14:15Z,2024-11-03 16:50Z,1,,6,HV 5630,Transavia,Boeing 737-800 (winglets)
EHAM,Beijing,2024-11-03 03:50Z,2024-11-03 16:20Z,3,F4,15,CZ 767,China Southern,Boeing 787-9
EHAM,Beijing,2024-11-03 03:50Z,2024-11-03 16:20Z,3,F4,15,KL 898,KLM,Boeing 787-9
EHAM,Beijing,2024-11-03 03:50Z,2024-11-03 16:20Z,3,F4,15,AF 8446,Air France,Boeing 787-9
EHAM,Shanghai,2024-11-03 03:25Z,2024-11-03 17:40Z,,F3,,MU 1551,China Eastern,Boeing 777
EHAM,Shanghai,2024-11-03 03:25Z,2024-11-03 17:40Z,,F3,,KL 896,KLM,Boeing 777
EHAM,Unknown,,2024-11-03 17:40Z,,F3,,AF 8448,Air France,Boeing 777
EHAM,London,2024-11-03 16:25Z,2024-11-03 17:40Z,,,,EC 8671,EasyJet Europe,Airbus A319
EHAM,London,2024-11-03 16:25Z,2024-11-03 17:40Z,,,,U2 8671,easyJet,Airbus A319
EHAM,Bangkok,2024-11-03 05:15Z,2024-11-03 17:45Z,4,F9,22,KL 844,KLM,Boeing 777
EHAM,Unknown,,2024-11-03 17:45Z,4,F9,22,AF 3236,Air France,Boeing 777
EHAM,Unknown,,2024-11-03 17:45Z,4,F9,22,QF 4231,Qantas,Boeing 777
EHAM,Stockholm,2024-11-03 15:35Z,2024-11-03 17:45Z,,,,SK 1555,SAS,Airbus A321-200 (Sharklets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,WA 1060,KLM Cityhopper,Embraer 175
EHAM,Unknown,,2024-11-03 17:50Z,,,,KQ 1630,Kenya,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,G3 5597,Gol,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,CZ 7778,China Southern,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,MF 9672,Xiamen,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,MU 1820,China Eastern,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,AM 6421,Aeromexico,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 17:50Z,,,,GA 9213,Garuda Indonesia,Boeing 737-700 (winglets)
EHAM,Vienna,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,GA 9521,Garuda Indonesia,Boeing 737-800 (winglets)
EHAM,Vienna,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,AM 6445,Aeromexico,Boeing 737-800 (winglets)
EHAM,Vienna,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,SK 6775,SAS,Boeing 737-800 (winglets)
EHAM,Vienna,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,MF 9719,Xiamen,Boeing 737-800 (winglets)
EHAM,Vienna,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,CZ 1349,China Southern,Boeing 737-800 (winglets)
EHAM,Vienna,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,KL 1906,KLM,Boeing 737-800 (winglets)
EHAM,Norwich,2024-11-03 16:55Z,2024-11-03 17:50Z,,,,KL 1060,KLM,Embraer 175
EHAM,Fes,2024-11-03 14:25Z,2024-11-03 17:50Z,,,,3O 125,Air Arabia Maroc,Airbus A320
EHAM,Milan,2024-11-03 15:55Z,2024-11-03 17:50Z,,,,KL 1622,KLM,Boeing 737-700 (winglets)
EHAM,Helsinki,2024-11-03 14:20Z,2024-11-03 17:00Z,,,,AY 1305,Finnair,Airbus A321
EHAM,Dublin,2024-11-03 16:20Z,2024-11-03 17:55Z,,,,FR 3100,Ryanair,Boeing 737-800 (winglets)
EHAM,Warsaw,2024-11-03 15:40Z,2024-11-03 17:55Z,,,,LO 267,LOT - Polish,Embraer 195-E2
EHAM,Bucharest,2024-11-03 14:50Z,2024-11-03 17:55Z,,,,RO 363,TAROM,Boeing 737-800
EHAM,Barcelona,2024-11-03 15:25Z,2024-11-03 17:55Z,,,,QR 3541,Qatar,Airbus A321-200 (Sharklets)
EHAM,Barcelona,2024-11-03 15:25Z,2024-11-03 17:55Z,,,,VY 8306,Vueling,Airbus A321-200 (Sharklets)
EHAM,Barcelona,2024-11-03 15:25Z,2024-11-03 17:55Z,,,,IB 5220,Iberia,Airbus A321-200 (Sharklets)
EHAM,Ålesund,2024-11-03 15:50Z,2024-11-03 17:55Z,,,,KL 1158,KLM,Embraer 190
EHAM,Unknown,,2024-11-03 17:55Z,,,,DL 9658,Delta Air Lines,Embraer 190
EHAM,Unknown,,2024-11-03 17:55Z,,,,SK 6793,SAS,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 17:55Z,,,,B6 6655,JetBlue,Embraer 195-E2
EHAM,Unknown,,2024-11-03 17:55Z,,,,AF 3134,Air France,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 17:55Z,,,,MH 5652,Malaysia,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 17:55Z,,,,G3 5509,Gol,Embraer 190
EHAM,Unknown,,2024-11-03 17:55Z,,,,EY 7333,Etihad,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 17:55Z,,,,AF 8221,Air France,Embraer 190
EHAM,Toulouse-Blagnac,2024-11-03 16:00Z,2024-11-03 17:55Z,,,,KL 1454,KLM,Boeing 737-800 (winglets)
EHAM,Goteborg,2024-11-03 16:20Z,2024-11-03 17:55Z,,,,KL 1236,KLM,Boeing 737-800 (winglets)
EHAM,Milan,2024-11-03 16:05Z,2024-11-03 18:00Z,,,,AZ 112,ITA,Airbus A220-300
EHAM,Unknown,,2024-11-03 18:00Z,,,,CZ 7760,China Southern,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 18:00Z,,,,AF 3216,Air France,Embraer 195-E2
EHAM,Nantes,2024-11-03 16:25Z,2024-11-03 18:00Z,,,,KL 1424,KLM,Embraer 195-E2
EHAM,Warsaw,2024-11-03 15:55Z,2024-11-03 18:00Z,,,,KL 1316,KLM,Boeing 737-700 (winglets)
EHAM,Stockholm,2024-11-03 15:45Z,2024-11-03 18:00Z,,,,D8 4533,Norwegian Air Sweden,Boeing 737-800 (winglets)
EHAM,London,2024-11-03 16:35Z,2024-11-03 18:00Z,,,,BA 440,British,Airbus A320
EHAM,Unknown,,2024-11-03 18:05Z,,,,SK 6608,SAS,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,KQ 1132,Kenya,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,GA 9011,Garuda Indonesia,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,AM 6381,Aeromexico,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,CZ 7757,China Southern,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,MU 1798,China Eastern,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,EY 7367,Etihad,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,MH 5640,Malaysia,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,MF 9378,Xiamen,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:05Z,,,,KE 6410,Korean Air,Boeing 737-800 (winglets)
EHAM,Zurich,2024-11-03 16:25Z,2024-11-03 18:05Z,,,,LX 734,SWISS,Airbus A220-300
EHAM,Copenhagen,2024-11-03 16:40Z,2024-11-03 18:05Z,,,,KL 1274,KLM,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:10Z,,,,SK 6757,SAS,Embraer 190
EHAM,Unknown,,2024-11-03 18:10Z,,,,AM 6218,Aeromexico,Embraer 190
EHAM,Unknown,,2024-11-03 18:10Z,,,,AF 8288,Air France,Embraer 175
EHAM,Munich,2024-11-03 16:30Z,2024-11-03 18:10Z,,,,LH 2308,Lufthansa,Airbus A319
EHAM,Bremen,2024-11-03 17:15Z,2024-11-03 18:10Z,,,,KL 1766,KLM,Embraer 190
EHAM,Firenze,2024-11-03 16:00Z,2024-11-03 18:10Z,,,,KL 1656,KLM,Embraer 190
EHAM,Kraków,2024-11-03 16:10Z,2024-11-03 18:10Z,,,,KL 1326,KLM,Embraer 175
EHAM,Bergen,2024-11-03 16:25Z,2024-11-03 18:15Z,,,,KL 1170,KLM,Boeing 737-800 (winglets)
EHAM,Catania,2024-11-03 15:10Z,2024-11-03 18:15Z,,,,KL 1672,KLM,Boeing 737-800 (winglets)
EHAM,Geneva,2024-11-03 16:30Z,2024-11-03 18:15Z,,,,KE 6418,Korean Air,Boeing 737-800 (winglets)
EHAM,Geneva,2024-11-03 16:30Z,2024-11-03 18:15Z,,,,SK 6671,SAS,Boeing 737-800 (winglets)
EHAM,Geneva,2024-11-03 16:30Z,2024-11-03 18:15Z,,,,KL 1936,KLM,Boeing 737-800 (winglets)
EHAM,Geneva,2024-11-03 16:30Z,2024-11-03 18:15Z,,,,MH 5688,Malaysia,Boeing 737-800 (winglets)
EHAM,Geneva,2024-11-03 16:30Z,2024-11-03 18:15Z,,,,AM 6394,Aeromexico,Boeing 737-800 (winglets)
EHAM,Geneva,2024-11-03 16:30Z,2024-11-03 18:15Z,,,,KQ 1936,Kenya,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,GA 9489,Garuda Indonesia,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,GA 9361,Garuda Indonesia,Embraer 190
EHAM,Unknown,,2024-11-03 18:15Z,,,,EY 7354,Etihad,Embraer 190
EHAM,Unknown,,2024-11-03 18:15Z,,,,SK 6725,SAS,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,AF 8270,Air France,Embraer 190
EHAM,Unknown,,2024-11-03 18:15Z,,,,SK 6831,SAS,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,GA 9289,Garuda Indonesia,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,CZ 1347,China Southern,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,MF 9623,Xiamen,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,AM 6535,Aeromexico,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,MF 9771,Xiamen,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,MF 9697,Xiamen,Embraer 190
EHAM,Unknown,,2024-11-03 18:15Z,,,,MF 9364,Xiamen,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,EY 7313,Etihad,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,SK 6681,SAS,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,MF 9689,Xiamen,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,MF 9348,Xiamen,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,CZ 7676,China Southern,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,AM 6256,Aeromexico,Embraer 175
EHAM,Unknown,,2024-11-03 18:15Z,,,,KE 6498,Korean Air,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,CZ 1361,China Southern,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:15Z,,,,AM 6419,Aeromexico,Boeing 737-800 (winglets)
EHAM,Hanover,2024-11-03 17:15Z,2024-11-03 18:15Z,,,,KL 1792,KLM,Embraer 175
EHAM,Budapest,2024-11-03 16:05Z,2024-11-03 18:15Z,,,,KL 1368,KLM,Boeing 737-800 (winglets)
EHAM,Budapest,2024-11-03 16:05Z,2024-11-03 18:15Z,,,,SK 6747,SAS,Boeing 737-800 (winglets)
EHAM,Nice,2024-11-03 16:10Z,2024-11-03 18:15Z,,,,KL 1478,KLM,Embraer 190
EHAM,Vienna,2024-11-03 16:20Z,2024-11-03 18:15Z,,,,OS 375,Austrian,Airbus A320
EHAM,Bologna,2024-11-03 16:10Z,2024-11-03 18:15Z,,,,KL 1666,KLM,Embraer 175
EHAM,Venice,2024-11-03 16:20Z,2024-11-03 18:15Z,,,,KL 1634,KLM,Embraer 175
EHAM,Munich,2024-11-03 16:35Z,2024-11-03 18:15Z,,,,KL 1856,KLM,Boeing 737-800 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,WS 5200,WestJet,Boeing 737-700 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,VS 7052,Virgin Atlantic,Boeing 737-700 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,MF 9641,Xiamen,Boeing 737-700 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,KQ 1012,Kenya,Boeing 737-700 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,KL 1012,KLM,Boeing 737-700 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,GA 9003,Garuda Indonesia,Boeing 737-700 (winglets)
EHAM,London,2024-11-03 17:05Z,2024-11-03 18:25Z,,,,CZ 7731,China Southern,Boeing 737-700 (winglets)
EHAM,Unknown,,2024-11-03 18:30Z,,,,AF 3184,Air France,Embraer 195-E2
EHAM,Unknown,,2024-11-03 18:30Z,,,,SK 6787,SAS,Embraer 190
EHAM,Unknown,,2024-11-03 18:30Z,,,,SK 6763,SAS,Embraer 195-E2
EHAM,Unknown,,2024-11-03 18:30Z,,,,AF 3194,Air France,Embraer 190
EHAM,Unknown,,2024-11-03 18:30Z,,,,G3 5572,Gol,Embraer 190
EHAM,Marseille,2024-11-03 16:20Z,2024-11-03 18:30Z,,,,KL 1470,KLM,Embraer 195-E2
EHAM,Bâle/Mulhouse,2024-11-03 16:55Z,2024-11-03 18:30Z,,,,KL 1948,KLM,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,VS 7192,Virgin Atlantic,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,SK 6634,SAS,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,AF 8371,Air France,Embraer 175
EHAM,Unknown,,2024-11-03 18:35Z,,,,MF 9392,Xiamen,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,EY 7304,Etihad,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,DL 9685,Delta Air Lines,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,DL 9476,Delta Air Lines,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,CZ 7765,China Southern,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,SK 6805,SAS,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,MH 5666,Malaysia,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,KQ 3034,Kenya,Airbus A220-300
EHAM,Unknown,,2024-11-03 18:35Z,,,,KQ 1182,Kenya,Embraer 175
EHAM,Unknown,,2024-11-03 18:35Z,,,,GA 8828,Garuda Indonesia,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,G3 5611,Gol,Embraer 195-E2
EHAM,Unknown,,2024-11-03 18:35Z,,,,G3 5278,Gol,Airbus A220-300
EHAM,Unknown,,2024-11-03 18:35Z,,,,KQ 976,Kenya,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,MU 1636,China Eastern,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,SK 6794,SAS,Embraer 175
EHAM,Unknown,,2024-11-03 18:35Z,,,,G3 5567,Gol,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,DL 9282,Delta Air Lines,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,AM 6006,Aeromexico,Airbus A220-300
EHAM,Unknown,,2024-11-03 18:35Z,,,,MF 9655,Xiamen,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,KE 6422,Korean Air,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,GA 9957,Garuda Indonesia,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,GA 9511,Garuda Indonesia,Airbus A220-300
EHAM,Unknown,,2024-11-03 18:35Z,,,,CZ 7628,China Southern,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,VS 6997,Virgin Atlantic,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,MF 9304,Xiamen,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,CZ 7794,China Southern,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,AM 6355,Aeromexico,Boeing 737-800 (winglets)
EHAM,Unknown,,2024-11-03 18:35Z,,,,AF 8380,Air France,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,KQ 920,Kenya,Embraer 190
EHAM,Unknown,,2024-11-03 18:35Z,,,,KL 2022,KLM,Airbus A220-300
EHAM,Unknown,,2024-11-03 18:35Z,,,,CI 9294,China,Airbus A220-300
EHAM,Madrid,2024-11-03 15:50Z,2024-11-03 18:35Z,,,,SK 6709,SAS,Boeing 737-800 (winglets)
EHAM,Madrid,2024-11-03 15:20Z,2024-11-03 18:35Z,,,,LA 1679,LATAM,Airbus A320
EHAM,Madrid,2024-11-03 15:20Z,2024-11-03 18:35Z,,,,AA 8611,American,Airbus A320
EHAM,Madrid,2024-11-03 15:50Z,2024-11-03 18:35Z,,,,MU 1896,China Eastern,Boeing 737-800 (winglets)
EHAM,Madrid,2024-11-03 15:20Z,2024-11-03 18:35Z,,,,IB 1793,Iberia,Airbus A320
EHAM,Madrid,2024-11-03 15:50Z,2024-11-03 18:35Z,,,,G3 5641,Gol,Boeing 737-800 (winglets)
EHAM,Madrid,2024-11-03 15:50Z,2024-11-03 18:35Z,,,,KL 1506,KLM,Boeing 737-800 (winglets)
EHAM,Madrid,2024-11-03 15:20Z,2024-11-03 18:35Z,,,,I2 1793,Iberia Express,Airbus A320-200 (Sharklets)
EHAM,Madrid,2024-11-03 15:50Z,2024-11-03 18:35Z,,,,EY 7346,Etihad,Boeing 737-800 (winglets)
